dep;jour;pop;T
01;2020-05-13;656955;341
02;2020-05-13;526050;298
03;2020-05-13;331315;165
04;2020-05-13;165197;99
05;2020-05-13;141756;33
06;2020-05-13;1079396;832
07;2020-05-13;326875;64
08;2020-05-13;265531;100
09;2020-05-13;152398;52
10;2020-05-13;309907;226
11;2020-05-13;372705;272
12;2020-05-13;278360;77
13;2020-05-13;2034469;3201
14;2020-05-13;691453;475
15;2020-05-13;142811;46
16;2020-05-13;348180;148
17;2020-05-13;647080;241
18;2020-05-13;296404;100
19;2020-05-13;240336;174
21;2020-05-13;532886;320
22;2020-05-13;596186;280
23;2020-05-13;116270;148
24;2020-05-13;408393;106
25;2020-05-13;539449;294
26;2020-05-13;520560;153
27;2020-05-13;600687;154
28;2020-05-13;429425;242
29;2020-05-13;906554;208
2A;2020-05-13;162421;173
2B;2020-05-13;182258;192
30;2020-05-13;748468;353
31;2020-05-13;1400935;1052
32;2020-05-13;190040;138
33;2020-05-13;1633440;805
34;2020-05-13;1176145;1070
35;2020-05-13;1082073;349
36;2020-05-13;217139;53
37;2020-05-13;605380;344
38;2020-05-13;1264979;530
39;2020-05-13;257849;145
40;2020-05-13;411979;109
41;2020-05-13;327835;147
42;2020-05-13;764737;308
43;2020-05-13;226901;35
44;2020-05-13;1437137;550
45;2020-05-13;682890;444
46;2020-05-13;173166;75
47;2020-05-13;330336;109
48;2020-05-13;76286;53
49;2020-05-13;815881;359
50;2020-05-13;490669;154
51;2020-05-13;563823;399
52;2020-05-13;169250;71
53;2020-05-13;305365;127
54;2020-05-13;730398;735
55;2020-05-13;181641;159
56;2020-05-13;755566;195
57;2020-05-13;1035866;815
58;2020-05-13;199596;202
59;2020-05-13;2588988;1352
60;2020-05-13;825077;141
61;2020-05-13;276903;165
62;2020-05-13;1452778;543
63;2020-05-13;660240;378
64;2020-05-13;683169;387
65;2020-05-13;226839;134
66;2020-05-13;479000;227
67;2020-05-13;1132607;962
68;2020-05-13;763204;584
69;2020-05-13;1876051;1475
70;2020-05-13;233194;100
71;2020-05-13;547824;505
72;2020-05-13;560227;157
73;2020-05-13;432548;169
74;2020-05-13;828405;402
75;2020-05-13;2148271;1472
76;2020-05-13;1243788;433
77;2020-05-13;1423607;1061
78;2020-05-13;1448625;946
79;2020-05-13;372627;179
80;2020-05-13;569769;358
81;2020-05-13;387898;438
82;2020-05-13;262618;136
83;2020-05-13;1073836;566
84;2020-05-13;560997;204
85;2020-05-13;683187;448
86;2020-05-13;437398;655
87;2020-05-13;370774;142
88;2020-05-13;359520;237
89;2020-05-13;332096;385
90;2020-05-13;140145;60
91;2020-05-13;1319401;970
92;2020-05-13;1613762;1057
93;2020-05-13;1670149;808
94;2020-05-13;1406041;1128
95;2020-05-13;1248354;550
971;2020-05-13;376879;26
972;2020-05-13;358749;86
973;2020-05-13;290691;2
974;2020-05-13;859959;354
975;2020-05-13;5997;0
976;2020-05-13;279471;24
977;2020-05-13;9961;0
978;2020-05-13;35334;1
01;2020-05-14;656955;440
02;2020-05-14;526050;526
03;2020-05-14;331315;155
04;2020-05-14;165197;117
05;2020-05-14;141756;67
06;2020-05-14;1079396;774
07;2020-05-14;326875;134
08;2020-05-14;265531;108
09;2020-05-14;152398;68
10;2020-05-14;309907;192
11;2020-05-14;372705;319
12;2020-05-14;278360;126
13;2020-05-14;2034469;3221
14;2020-05-14;691453;501
15;2020-05-14;142811;55
16;2020-05-14;348180;160
17;2020-05-14;647080;283
18;2020-05-14;296404;91
19;2020-05-14;240336;243
21;2020-05-14;532886;330
22;2020-05-14;596186;262
23;2020-05-14;116270;158
24;2020-05-14;408393;115
25;2020-05-14;539449;357
26;2020-05-14;520560;252
27;2020-05-14;600687;175
28;2020-05-14;429425;189
29;2020-05-14;906554;286
2A;2020-05-14;162421;160
2B;2020-05-14;182258;164
30;2020-05-14;748468;542
31;2020-05-14;1400935;1041
32;2020-05-14;190040;153
33;2020-05-14;1633440;784
34;2020-05-14;1176145;948
35;2020-05-14;1082073;535
36;2020-05-14;217139;77
37;2020-05-14;605380;411
38;2020-05-14;1264979;638
39;2020-05-14;257849;128
40;2020-05-14;411979;154
41;2020-05-14;327835;114
42;2020-05-14;764737;427
43;2020-05-14;226901;74
44;2020-05-14;1437137;612
45;2020-05-14;682890;641
46;2020-05-14;173166;67
47;2020-05-14;330336;152
48;2020-05-14;76286;50
49;2020-05-14;815881;522
50;2020-05-14;490669;202
51;2020-05-14;563823;426
52;2020-05-14;169250;120
53;2020-05-14;305365;105
54;2020-05-14;730398;582
55;2020-05-14;181641;251
56;2020-05-14;755566;190
57;2020-05-14;1035866;1132
58;2020-05-14;199596;93
59;2020-05-14;2588988;1721
60;2020-05-14;825077;400
61;2020-05-14;276903;130
62;2020-05-14;1452778;483
63;2020-05-14;660240;540
64;2020-05-14;683169;415
65;2020-05-14;226839;202
66;2020-05-14;479000;186
67;2020-05-14;1132607;957
68;2020-05-14;763204;612
69;2020-05-14;1876051;1536
70;2020-05-14;233194;131
71;2020-05-14;547824;466
72;2020-05-14;560227;227
73;2020-05-14;432548;178
74;2020-05-14;828405;397
75;2020-05-14;2148271;1799
76;2020-05-14;1243788;455
77;2020-05-14;1423607;1003
78;2020-05-14;1448625;797
79;2020-05-14;372627;128
80;2020-05-14;569769;466
81;2020-05-14;387898;380
82;2020-05-14;262618;150
83;2020-05-14;1073836;739
84;2020-05-14;560997;289
85;2020-05-14;683187;494
86;2020-05-14;437398;172
87;2020-05-14;370774;117
88;2020-05-14;359520;263
89;2020-05-14;332096;356
90;2020-05-14;140145;69
91;2020-05-14;1319401;867
92;2020-05-14;1613762;1216
93;2020-05-14;1670149;869
94;2020-05-14;1406041;1140
95;2020-05-14;1248354;697
971;2020-05-14;376879;74
972;2020-05-14;358749;240
973;2020-05-14;290691;3
974;2020-05-14;859959;248
975;2020-05-14;5997;0
976;2020-05-14;279471;34
977;2020-05-14;9961;0
978;2020-05-14;35334;2
01;2020-05-15;656955;455
02;2020-05-15;526050;359
03;2020-05-15;331315;173
04;2020-05-15;165197;94
05;2020-05-15;141756;32
06;2020-05-15;1079396;1120
07;2020-05-15;326875;143
08;2020-05-15;265531;122
09;2020-05-15;152398;48
10;2020-05-15;309907;259
11;2020-05-15;372705;305
12;2020-05-15;278360;107
13;2020-05-15;2034469;3220
14;2020-05-15;691453;689
15;2020-05-15;142811;58
16;2020-05-15;348180;70
17;2020-05-15;647080;131
18;2020-05-15;296404;108
19;2020-05-15;240336;166
21;2020-05-15;532886;446
22;2020-05-15;596186;333
23;2020-05-15;116270;121
24;2020-05-15;408393;133
25;2020-05-15;539449;435
26;2020-05-15;520560;271
27;2020-05-15;600687;230
28;2020-05-15;429425;198
29;2020-05-15;906554;400
2A;2020-05-15;162421;175
2B;2020-05-15;182258;128
30;2020-05-15;748468;644
31;2020-05-15;1400935;1374
32;2020-05-15;190040;94
33;2020-05-15;1633440;890
34;2020-05-15;1176145;1417
35;2020-05-15;1082073;693
36;2020-05-15;217139;92
37;2020-05-15;605380;671
38;2020-05-15;1264979;696
39;2020-05-15;257849;144
40;2020-05-15;411979;296
41;2020-05-15;327835;247
42;2020-05-15;764737;427
43;2020-05-15;226901;86
44;2020-05-15;1437137;794
45;2020-05-15;682890;646
46;2020-05-15;173166;127
47;2020-05-15;330336;132
48;2020-05-15;76286;52
49;2020-05-15;815881;475
50;2020-05-15;490669;270
51;2020-05-15;563823;381
52;2020-05-15;169250;154
53;2020-05-15;305365;116
54;2020-05-15;730398;673
55;2020-05-15;181641;313
56;2020-05-15;755566;495
57;2020-05-15;1035866;1054
58;2020-05-15;199596;268
59;2020-05-15;2588988;1504
60;2020-05-15;825077;631
61;2020-05-15;276903;227
62;2020-05-15;1452778;630
63;2020-05-15;660240;392
64;2020-05-15;683169;435
65;2020-05-15;226839;268
66;2020-05-15;479000;218
67;2020-05-15;1132607;1125
68;2020-05-15;763204;624
69;2020-05-15;1876051;1544
70;2020-05-15;233194;206
71;2020-05-15;547824;601
72;2020-05-15;560227;274
73;2020-05-15;432548;191
74;2020-05-15;828405;397
75;2020-05-15;2148271;1767
76;2020-05-15;1243788;672
77;2020-05-15;1423607;1124
78;2020-05-15;1448625;941
79;2020-05-15;372627;148
80;2020-05-15;569769;562
81;2020-05-15;387898;356
82;2020-05-15;262618;156
83;2020-05-15;1073836;706
84;2020-05-15;560997;250
85;2020-05-15;683187;655
86;2020-05-15;437398;169
87;2020-05-15;370774;257
88;2020-05-15;359520;329
89;2020-05-15;332096;427
90;2020-05-15;140145;81
91;2020-05-15;1319401;1010
92;2020-05-15;1613762;1563
93;2020-05-15;1670149;935
94;2020-05-15;1406041;983
95;2020-05-15;1248354;778
971;2020-05-15;376879;79
972;2020-05-15;358749;150
973;2020-05-15;290691;4
974;2020-05-15;859959;522
975;2020-05-15;5997;1
976;2020-05-15;279471;44
977;2020-05-15;9961;0
978;2020-05-15;35334;5
01;2020-05-16;656955;151
02;2020-05-16;526050;147
03;2020-05-16;331315;79
